Survived,Pclass,Sex,Age,Fare,Cabin,Embarked_0,Embarked_1,Embarked_2,FamilySize
0,3,1,22.0,7.25,,0,0,1,1
1,1,0,38.0,71.2833,C85,1,0,0,1
1,3,0,26.0,7.925,,0,0,1,0
1,1,0,35.0,53.1,C123,0,0,1,1
0,3,1,35.0,8.05,,0,0,1,0
0,3,1,29.69911764705882,8.4583,,0,1,0,0
0,1,1,54.0,51.8625,E46,0,0,1,0
0,3,1,2.0,21.075,,0,0,1,4
1,3,0,27.0,11.1333,,0,0,1,2
1,2,0,14.0,30.0708,,1,0,0,1
1,3,0,4.0,16.7,G6,0,0,1,2
1,1,0,58.0,26.55,C103,0,0,1,0
0,3,1,20.0,8.05,,0,0,1,0
0,3,1,39.0,31.275,,0,0,1,6
0,3,0,14.0,7.8542,,0,0,1,0
1,2,0,55.0,16.0,,0,0,1,0
0,3,1,2.0,29.125,,0,1,0,5
1,2,1,29.69911764705882,13.0,,0,0,1,0
0,3,0,31.0,18.0,,0,0,1,1
1,3,0,29.69911764705882,7.225,,1,0,0,0
0,2,1,35.0,26.0,,0,0,1,0
1,2,1,34.0,13.0,D56,0,0,1,0
1,3,0,15.0,8.0292,,0,1,0,0
1,1,1,28.0,35.5,A6,0,0,1,0
0,3,0,8.0,21.075,,0,0,1,4
1,3,0,38.0,31.3875,,0,0,1,6
0,3,1,29.69911764705882,7.225,,1,0,0,0
0,1,1,19.0,263.0,C23 C25 C27,0,0,1,5
1,3,0,29.69911764705882,7.8792,,0,1,0,0
0,3,1,29.69911764705882,7.8958,,0,0,1,0
0,1,1,40.0,27.7208,,1,0,0,0
1,1,0,29.69911764705882,146.5208,B78,1,0,0,1
1,3,0,29.69911764705882,7.75,,0,1,0,0
0,2,1,66.0,10.5,,0,0,1,0
0,1,1,28.0,82.1708,,1,0,0,1
0,1,1,42.0,52.0,,0,0,1,1
1,3,1,29.69911764705882,7.2292,,1,0,0,0
0,3,1,21.0,8.05,,0,0,1,0
0,3,0,18.0,18.0,,0,0,1,2
1,3,0,14.0,11.2417,,1,0,0,1
0,3,0,40.0,9.475,,0,0,1,1
0,2,0,27.0,21.0,,0,0,1,1
0,3,1,29.69911764705882,7.8958,,1,0,0,0
